trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,0,-28.537405867830884,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.3370580864936543}",25,12,10.36505166269236,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.3345396069486076}",20,0,10.241591167184358,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.33203994534466064}",20,9,6.286545982153336,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.3295589610751891}",20,8,5.344334185006026,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.3270965145841736}",25,13,18.910019965520945,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.32465246735834974}",25,16,0.9999413335950329,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.32222668191941667}",20,0,-89.66186698354737,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.31981902181630395}",30,12,-28.957175039018217,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.3174293516174957}",20,13,1.6047303863205578,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.3150575369034133}",30,0,-35.64018239547673,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.3127034442588538}",20,6,-15.965108389678699,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,7,6.812432358030992,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.3080478964943976}",20,0,15.72082896110108,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.30574617949871175}",25,19,6.734820604938775,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.30346166080623954}",25,0,-21.267648214063193,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,11,2.8777907086760783,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
